order_id,order_date,customer_id,product_id,quantity,unit_price,currency
O50035,2025-02-12,C003,P1024,58,15.56,EUR
O51182,2025-09-14,C031,P1007,16,79.35,EUR
O50037,2025-06-16,C002,P1027,12,11.41,EUR
O50499,2026-05-12,C033,P1004,51,20.07,EUR
O50556,16.04.2026,C006,P1029,55,70.32,EUR
O50848,12.04.2026,C030,P1012,33,42.9,eur
O50869,2026-04-18,C034,P1013,22,5.96,EUR
O50648,2025-02-28,C029,P1032,1,58.12,EUR
O51170,2025-10-15,C006,P1013,53,5.9,EUR
O50496,2026-01-17,C020,P1022,20,56.5,eur
O50230,2025-02-01,C003,P1029,9,65.4,EUR
O50557,02.05.2025,C007,P1002,26,5.59,EUR
O51184,2026-04-03,C004,P1006,59,52.6,EUR
O50485,2026-08-10,C020,P1031,6,66.02,EUR
O50959,2025-07-24,C019,P1025,36,78.84,EUR
O50955,09.08.2025,C029,P1027,19,10.39,eur
O50441,2026-04-20,C006,P1008,11,11.06,EUR
O50436,17.01.2026,C038,P1006,7,56.96,eur
O50529,2025-06-21,C020,P1003,19,25.15,EUR
O50292,2026-05-30,C019,P1008,24,10.73,EUR
O50363,06.12.2025,C001,P1007,7,70.96,EUR
O50130,23.07.2025,C007,P1031,16,65.87,EUR
O50270,05.05.2026,C012,P1021,30,71.53,EUR
O50975,2025-08-16,C015,P1010,20,5.67,EUR
O50739,08.08.2026,C005,P1014,47,18.78,eur
O50059,2025-12-10,C006,P1035,9,31.57,eur
O50523,2025-05-27,C006,P1012,32,42.26,EUR
O50854,2025-12-18,C030,P1031,33,71.59,EUR
O50780,2025-07-14,C026,P1029,57,68.11,EUR
O50928,2025-06-29,C014,P1036,9,50.78,EUR
O51078,2026-01-13,C028,P1028,6,10.46,EUR
O51137,2026-01-19,C032,P1019,2,70.52,EUR
O50127,04.09.2025,C015,P1010,30,6.18,eur
O50847,28.05.2025,C009,P1028,6,10.64,eur
O51047,15.02.2026,C010,P1017,6,22.6,EUR
O50380,2025-02-24,C032,P1001,9,51.31,eur
O50823,2025-06-25,C040,P1020,58,4.1,eur
O50594,2025-03-15,C030,P1002,46,5.52,EUR
O50423,2026-08-14,C030,P1032,33,59.69,eur
O51035,2026-01-07,C016,P1035,55,33.15,EUR
O50937,2025-07-13,C015,P1002,54,6.08,EUR
O51036,2026-02-07,C006,P1020,60,4.43,EUR
O50898,2026-03-26,C009,P1003,7,26.52,eur
O50575,2025-10-21,C004,P1010,45,6.32,EUR
O53400,2025-07-07,C004,P1003,-4,15.0,EUR
O50221,2025-11-20,C026,P1033,53,46.18,EUR
O50608,22.11.2025,C022,P1029,40,72.16,EUR
O50568,01.06.2026,C039,P1027,59,11.33,EUR
O50271,2026-07-14,C040,P1017,31,19.98,EUR
O50381,30.07.2026,C032,P1027,27,11.36,eur
O50882,12.06.2026,C028,P1031,26,70.91,EUR
O51073,2025-09-19,C026,P1016,6,42.93,EUR
O50177,15.03.2025,C028,P1003,2,25.16,EUR
O50561,2025-12-16,C036,P1019,34,65.96,EUR
O50266,22.02.2025,C034,P1011,41,21.64,eur
O51076,2025-05-15,C024,P1007,33,70.26,eur
O50010,2026-07-22,C001,P1015,5,56.64,EUR
O51175,2025-01-24,C030,P1036,1,50.45,EUR
O50061,2026-03-02,C027,P1014,25,20.6,EUR
O50091,15.02.2026,C037,P1005,41,63.47,EUR
O50370,05.12.2025,C015,P1030,52,50.38,EUR
O50053,2026-03-01,C032,P1025,26,75.68,EUR
,2025-08-08,C005,P1002,2,15.0,EUR
O50852,2025-05-26,C034,P1030,6,51.36,EUR
O50297,2025-04-30,C006,P1032,58,61.18,EUR
O50896,2025-11-26,C038,P1003,12,24.65,EUR
O50117,2025-02-14,C025,P1031,25,72.48,EUR
O50963,2025-01-30,C032,P1018,5,50.84,EUR
O50410,2025-09-12,C020,P1002,14,5.69,EUR
O50579,2026-07-20,C017,P1001,13,55.03,eur
O51157,05.08.2026,C006,P1029,55,71.89,EUR
O50885,2026-01-10,C030,P1006,49,59.37,EUR
O50934,2025-03-20,C018,P1011,8,21.55,eur
O50857,2025-10-26,C032,P1019,6,63.26,EUR
O51183,2025-12-08,C039,P1005,40,60.99,EUR
O50528,2025-09-12,C020,P1023,9,28.49,EUR
O51139,2025-01-03,C023,P1036,5,49.93,eur
O52382,2025-06-06,C003,P9999,3,9.9,EUR
O50870,2025-11-17,C005,P1001,1,53.2,EUR
O50909,2026-03-06,C015,P1021,50,62.81,EUR
O50139,2026-04-11,C038,P1017,25,22.13,EUR
O50532,2025-01-23,C024,P1008,46,10.79,EUR
O50289,2026-05-04,C001,P1016,17,45.67,eur
O50874,2025-07-08,C030,P1019,43,72.1,eur
O50883,2026-07-08,C025,P1001,45,56.76,eur
O50284,19.10.2025,C034,P1035,32,35.58,EUR
O51012,2025-07-30,C033,P1032,52,63.7,EUR
O51181,29.01.2025,C002,P1028,38,11.85,EUR
