customer_id,customer_name,country,channel
C001,Kunde 1 GmbH,FR,Online
C002,Kunde 2 GmbH,AT,Online
C003,Kunde 3 GmbH,DE,Baumarkt
C004,Kunde 4 GmbH,AT,Großhandel
C005,Kunde 5 GmbH,DE,Baumarkt
C006,Kunde 6 GmbH,DE,Großhandel
C007,Kunde 7 GmbH,NL,Großhandel
C008,Kunde 8 GmbH,FR,Baumarkt
C009,Kunde 9 GmbH,FR,Großhandel
C010,Kunde 10 GmbH,AT,Online
C011,Kunde 11 GmbH,NL,Online
C012,Kunde 12 GmbH,DE,Online
C013,Kunde 13 GmbH,DE,Online
C014,Kunde 14 GmbH,AT,Baumarkt
C015,Kunde 15 GmbH,PL,Großhandel
C016,Kunde 16 GmbH,NL,Online
C017,Kunde 17 GmbH,AT,Online
C018,Kunde 18 GmbH,FR,Baumarkt
C019,Kunde 19 GmbH,AT,Baumarkt
C020,Kunde 20 GmbH,FR,Großhandel
C021,Kunde 21 GmbH,NL,Baumarkt
C022,Kunde 22 GmbH,AT,Online
C023,Kunde 23 GmbH,FR,Baumarkt
C024,Kunde 24 GmbH,PL,Großhandel
C025,Kunde 25 GmbH,PL,Baumarkt
C026,Kunde 26 GmbH,NL,Baumarkt
C027,Kunde 27 GmbH,AT,Online
C028,Kunde 28 GmbH,NL,Online
C029,Kunde 29 GmbH,SK,Online
C030,Kunde 30 GmbH,SK,Großhandel
C031,Kunde 31 GmbH,AT,Baumarkt
C032,Kunde 32 GmbH,PL,Baumarkt
C033,Kunde 33 GmbH,DE,Baumarkt
C034,Kunde 34 GmbH,DE,Online
C035,Kunde 35 GmbH,DE,Online
C036,Kunde 36 GmbH,SK,Online
C037,Kunde 37 GmbH,DE,Großhandel
C038,Kunde 38 GmbH,SK,Online
C039,Kunde 39 GmbH,PL,Online
C040,Kunde 40 GmbH,NL,Online
C012,Kunde 12 GmbH ,DE,Baumarkt
C099,,,
