product_id,product_name,category,list_price
P1001,Stichsägeblatt S,Sägen,58.35
P1002,Stichsägeblatt M,Sägen,6.13
P1003,Stichsägeblatt L,Sägen,27.38
P1004,Kreissägeblatt S,Sägen,22.97
P1005,Kreissägeblatt M,Sägen,66.6
P1006,Kreissägeblatt L,Sägen,61.52
P1007,Japansäge S,Sägen,79.84
P1008,Japansäge M,Sägen,11.39
P1009,Japansäge L,Sägen,39.86
P1010,Schraubzwinge S,Spannen,6.53
P1011,Schraubzwinge M,Spannen,22.58
P1012,Schraubzwinge L,Spannen,46.96
P1013,Einhandzwinge S,Spannen,6.26
P1014,Einhandzwinge M,Spannen,20.9
P1015,Einhandzwinge L,Spannen,59.24
P1016,Federzwinge S,Spannen,50.32
P1017,Federzwinge M,Spannen,22.74
P1018,Federzwinge L,Spannen,54.09
P1019,Bohrerset S,Bohren,72.8
P1020,Bohrerset M,Bohren,4.55
P1021,Bohrerset L,Bohren,72.49
P1022,Lochsäge S,Bohren,63.34
P1023,Lochsäge M,Bohren,32.92
P1024,Lochsäge L,Bohren,17.22
P1025,Senker S,Bohren,85.36
P1026,Senker M,Bohren,32.61
P1027,Senker L,Bohren,11.88
P1028,Winkel S,Messen,12.22
P1029,Winkel M,Messen,76.04
P1030,Winkel L,Messen,55.32
P1031,Wasserwaage S,Messen,72.61
P1032,Wasserwaage M,Messen,66.03
P1033,Wasserwaage L,Messen,49.58
P1034,Anreißlehre S,Messen,86.71
P1035,Anreißlehre M,Messen,36.18
P1036,Anreißlehre L,Messen,50.92
P1001,stichsägeblatt s,Sägen,58.35
